Variable,Target0_Before_mean,Target0_Before_std,Target0_Before_n,Target0_After_mean,Target0_After_std,Target0_After_n,Target1_Before_mean,Target1_Before_std,Target1_Before_n,Target1_After_mean,Target1_After_std,Target1_After_n
Sap Na (ppm),48.15639097744361,9.645913747685947,133,50.77895833333333,8.297433071280118,480,44.15413533834587,7.5879940184457855,133,49.11137787056367,7.055562583484567,479
Soil NO3 Horiba (ppm),115.29120300751879,109.18813398482118,133,46.029095833333336,40.78008232530236,480,150.18433082706767,146.45197312174855,133,46.63633194154489,64.26979527809569,479
Sap Conductivity (mS/cm),11.186097744360902,1.0686043493852984,133,10.823780208333334,1.144696462726544,480,11.181127819548871,1.15880441694024,133,10.609390396659707,1.1070238976793167,479
Soil pH Horiba,6.636383458646617,0.42300579768583074,133,6.598204166666666,0.3156836105106256,480,6.630496240601504,0.3918143813790617,133,6.7596430062630475,0.2691840139694732,479
Sap Ca (ppm),244.82443609022556,117.07805309185015,133,309.76708333333335,150.60491886543699,480,268.2646616541353,144.50229443784386,133,297.73841336116914,159.33417222192065,479
Chlorophyll (SPAD),50.359022556390975,6.359124185059017,133,54.695229166666664,4.30078993928575,480,50.92969924812031,6.103172788860008,133,56.59237995824635,3.357571935644634,479
Sap NO3 (ppm),1571.2451127819547,628.4976459619576,133,733.0856249999999,445.712677680967,480,1884.8992481203009,562.634011308638,133,884.4860125260961,682.4404850540166,479
7in1_S_Temperature(C),27.609548872180454,2.1740253353119563,133,25.8163125,1.7647586864938005,480,27.287368421052633,2.258539315688431,133,24.8698121085595,1.5482633563738104,479
Soil Ca Horiba (ppm),81.74448621553884,50.75934645991709,133,47.62142361111111,39.06026563656919,480,80.453007518797,57.47785962391878,133,37.676409185803756,44.710645803510204,479
Air_sensor_Humidity(%RH),59.0481954887218,7.2477858515117175,133,66.29060416666667,8.093058331830083,480,60.00932330827067,8.616561941408792,133,69.11125260960334,6.79927011964551,479
Sap pH,5.660808270676692,0.16755210317857114,133,5.566764583333334,0.26463762554817466,480,5.635503759398496,0.1886462186716002,133,5.544433194154489,0.2350474173750298,479
7in1_Ph(pH),6.478616541353383,0.37771451303951037,133,6.546108333333334,0.5213641060112236,480,6.527988721804511,0.4204989841904164,133,6.583425887265136,0.47471507225970777,479
Pynamometer_Radiation(W/m2),456.703007518797,213.14656749127008,133,342.92375,167.7136160633597,480,430.1105263157895,230.9381037575764,133,299.96576200417536,139.5222084457347,479
